                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 2.3563,                 1.8559,                 1.3084,                0.21227,                0.13672,                0.08801,                0.03887,                 2.4981,                 2.0837,                 1.2966,              0.0001224,              0.0001224,              0.0001224
                    111,                  2.379,                 1.8635,                 1.3116,                 0.2211,                0.10127,                0.08111,                0.03141,                 2.6178,                 2.1237,                 1.3448,              0.0001211,              0.0001211,              0.0001211
                    112,                  2.374,                 1.8716,                 1.3136,                0.28852,                0.08827,                0.08855,                0.03846,                  2.545,                  2.117,                  1.323,              0.0001198,              0.0001198,              0.0001198
                    113,                 2.4116,                 1.8761,                 1.3235,                0.26225,                0.09967,                0.08008,                0.03108,                 2.5893,                  2.128,                 1.3353,             0.00011849,             0.00011849,             0.00011849
                    114,                 2.3325,                 1.8174,                 1.2955,                0.33491,                0.09309,                0.08462,                0.03759,                 2.5182,                 2.1161,                 1.3048,             0.00011719,             0.00011719,             0.00011719
                    115,                 2.3371,                 1.8566,                 1.3043,                0.33424,                0.08909,                0.08362,                0.03328,                 2.5546,                 2.1507,                 1.3239,             0.00011589,             0.00011589,             0.00011589
                    116,                 2.3433,                 1.8372,                  1.304,                0.30615,                0.10166,                0.08548,                0.03535,                 2.5618,                 2.1303,                 1.3163,             0.00011459,             0.00011459,             0.00011459
                    117,                 2.3372,                 1.8455,                 1.3072,                0.27984,                0.10435,                0.08488,                0.03576,                 2.5378,                 2.1222,                  1.316,             0.00011329,             0.00011329,             0.00011329
                    118,                 2.3138,                  1.819,                 1.2931,                0.35655,                0.07678,                0.08239,                0.03302,                 2.5752,                 2.1019,                  1.322,             0.00011199,             0.00011199,             0.00011199
                    119,                 2.3539,                 1.8609,                 1.2994,                0.23777,                0.10821,                0.09105,                0.03918,                 2.5258,                 2.0749,                 1.3023,             0.00011068,             0.00011068,             0.00011068
                    120,                 2.3706,                 1.8659,                 1.3138,                0.20199,                0.11858,                0.07303,                0.03273,                 2.5177,                 2.1211,                 1.3033,             0.00010938,             0.00010938,             0.00010938
                    121,                  2.327,                 1.8642,                 1.2965,                 0.3545,                0.08248,                0.08634,                0.03612,                 2.5511,                 2.1145,                 1.3129,             0.00010808,             0.00010808,             0.00010808
                    122,                 2.3458,                 1.8273,                 1.3003,                0.21091,                0.13067,                0.08672,                0.03766,                  2.521,                  2.118,                 1.3109,             0.00010678,             0.00010678,             0.00010678
                    123,                 2.3704,                 1.8656,                 1.2978,                0.29914,                0.09814,                0.09008,                0.03924,                 2.5456,                 2.0865,                 1.3065,             0.00010548,             0.00010548,             0.00010548
                    124,                 2.2727,                 1.8009,                 1.2845,                0.34447,                0.09126,                0.08779,                0.03865,                 2.5161,                  2.094,                  1.297,             0.00010417,             0.00010417,             0.00010417
                    125,                 2.3353,                 1.8234,                 1.2922,                0.35555,                0.09064,                0.08747,                0.03589,                 2.5947,                 2.1086,                  1.325,             0.00010287,             0.00010287,             0.00010287
                    126,                 2.3216,                 1.8365,                  1.289,                0.21943,                0.09482,                0.09066,                0.03733,                 2.5663,                 2.0981,                 1.3127,             0.00010157,             0.00010157,             0.00010157
                    127,                 2.3089,                 1.7939,                 1.2754,                0.28339,                 0.0935,                0.09252,                0.04037,                 2.5272,                 2.0922,                 1.3034,             0.00010027,             0.00010027,             0.00010027
                    128,                 2.3171,                 1.8671,                 1.2944,                0.23931,                0.09048,                0.09141,                0.03966,                 2.5086,                 2.0829,                 1.2946,             9.8967e-05,             9.8967e-05,             9.8967e-05
                    129,                 2.2793,                 1.7776,                 1.2724,                0.38381,                0.09278,                0.08672,                0.03751,                 2.5382,                 2.1019,                 1.3098,             9.7665e-05,             9.7665e-05,             9.7665e-05
                    130,                 2.3168,                 1.8134,                 1.2854,                 0.3374,                0.08991,                0.08713,                0.03956,                 2.5057,                 2.0751,                 1.2963,             9.6363e-05,             9.6363e-05,             9.6363e-05
                    131,                 2.2999,                 1.8124,                 1.2823,                0.14808,                0.10462,                0.08732,                0.03819,                 2.5289,                 2.0657,                 1.2925,             9.5061e-05,             9.5061e-05,             9.5061e-05
